tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
590,8/1/2015 10:10:16,8/1/2015 10:20:07,301,E 2 St & Avenue B,40.72217444,-73.98368779,297,E 15 St & 3 Ave,40.734232,-73.986923,15937,Subscriber,1967.0,1
671,8/1/2015 10:20:24,8/1/2015 10:31:36,301,E 2 St & Avenue B,40.72217444,-73.98368779,357,E 11 St & Broadway,40.73261787,-73.99158043,18974,Subscriber,1967.0,1
1311,8/1/2015 10:20:46,8/1/2015 10:42:38,301,E 2 St & Avenue B,40.72217444,-73.98368779,455,1 Ave & E 44 St,40.75001986,-73.96905301,21993,Customer,,0
360,8/1/2015 10:23:20,8/1/2015 10:29:20,301,E 2 St & Avenue B,40.72217444,-73.98368779,504,1 Ave & E 15 St,40.73221853,-73.98165557,20540,Subscriber,1986.0,1
1530,8/1/2015 10:28:05,8/1/2015 10:53:36,301,E 2 St & Avenue B,40.72217444,-73.98368779,546,E 30 St & Park Ave S,40.74444921,-73.98303529,15146,Subscriber,1987.0,1
519,8/1/2015 10:30:30,8/1/2015 10:39:09,301,E 2 St & Avenue B,40.72217444,-73.98368779,361,Allen St & Hester St,40.71605866,-73.99190759,15915,Subscriber,1976.0,2
1041,8/1/2015 10:43:31,8/1/2015 11:00:52,301,E 2 St & Avenue B,40.72217444,-73.98368779,497,E 17 St & Broadway,40.73704984,-73.99009296,15277,Subscriber,1973.0,1
1023,8/1/2015 10:51:39,8/1/2015 11:08:42,301,E 2 St & Avenue B,40.72217444,-73.98368779,442,W 27 St & 7 Ave,40.746646999999996,-73.993915,17285,Subscriber,1983.0,1
1154,8/1/2015 10:51:46,8/1/2015 11:11:00,301,E 2 St & Avenue B,40.72217444,-73.98368779,128,MacDougal St & Prince St,40.72710258,-74.00297088,17872,Subscriber,1980.0,1
1476,8/1/2015 10:55:37,8/1/2015 11:20:13,301,E 2 St & Avenue B,40.72217444,-73.98368779,386,Centre St & Worth St,40.71494807,-74.00234482,14599,Customer,,0
1392,8/1/2015 10:56:59,8/1/2015 11:20:11,301,E 2 St & Avenue B,40.72217444,-73.98368779,386,Centre St & Worth St,40.71494807,-74.00234482,18149,Customer,,0
1330,8/1/2015 10:57:50,8/1/2015 11:20:01,301,E 2 St & Avenue B,40.72217444,-73.98368779,386,Centre St & Worth St,40.71494807,-74.00234482,20243,Customer,,0
450,8/1/2015 10:58:28,8/1/2015 11:05:59,301,E 2 St & Avenue B,40.72217444,-73.98368779,250,Lafayette St & Jersey St,40.72456089,-73.99565293,15880,Subscriber,1990.0,1
789,8/1/2015 10:58:45,8/1/2015 11:11:55,301,E 2 St & Avenue B,40.72217444,-73.98368779,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,20635,Customer,,0
527,8/1/2015 11:02:04,8/1/2015 11:10:52,301,E 2 St & Avenue B,40.72217444,-73.98368779,375,Mercer St & Bleecker St,40.72679454,-73.99695094,21365,Subscriber,1983.0,1
532,8/1/2015 11:02:11,8/1/2015 11:11:04,301,E 2 St & Avenue B,40.72217444,-73.98368779,375,Mercer St & Bleecker St,40.72679454,-73.99695094,17200,Subscriber,1983.0,1
626,8/1/2015 11:08:44,8/1/2015 11:19:11,301,E 2 St & Avenue B,40.72217444,-73.98368779,293,Lafayette St & E 8 St,40.73028666,-73.9907647,16806,Subscriber,1990.0,2
630,8/1/2015 11:08:48,8/1/2015 11:19:19,301,E 2 St & Avenue B,40.72217444,-73.98368779,293,Lafayette St & E 8 St,40.73028666,-73.9907647,21125,Subscriber,1989.0,1
565,8/1/2015 11:25:44,8/1/2015 11:35:10,301,E 2 St & Avenue B,40.72217444,-73.98368779,545,E 23 St & 1 Ave,40.736502,-73.97809472,17336,Subscriber,1991.0,2
390,8/1/2015 11:27:25,8/1/2015 11:33:55,301,E 2 St & Avenue B,40.72217444,-73.98368779,250,Lafayette St & Jersey St,40.72456089,-73.99565293,21225,Subscriber,1988.0,1
1512,8/1/2015 11:27:46,8/1/2015 11:52:58,301,E 2 St & Avenue B,40.72217444,-73.98368779,305,E 58 St & 3 Ave,40.76095756,-73.96724467,14882,Customer,,0
163,8/1/2015 11:34:10,8/1/2015 11:36:54,301,E 2 St & Avenue B,40.72217444,-73.98368779,317,E 6 St & Avenue B,40.72453734,-73.98185424,19747,Customer,,0
347,8/1/2015 11:41:38,8/1/2015 11:47:25,301,E 2 St & Avenue B,40.72217444,-73.98368779,307,Canal St & Rutgers St,40.71427487,-73.98990025,17957,Subscriber,1987.0,1
583,8/1/2015 11:59:35,8/1/2015 12:09:19,301,E 2 St & Avenue B,40.72217444,-73.98368779,347,Greenwich St & W Houston St,40.728846000000004,-74.00859100000001,20107,Subscriber,1983.0,1
528,8/1/2015 12:01:50,8/1/2015 12:10:38,301,E 2 St & Avenue B,40.72217444,-73.98368779,487,E 20 St & FDR Drive,40.73314259,-73.97573881,14706,Subscriber,1973.0,2
502,8/1/2015 12:02:15,8/1/2015 12:10:38,301,E 2 St & Avenue B,40.72217444,-73.98368779,487,E 20 St & FDR Drive,40.73314259,-73.97573881,16795,Subscriber,1970.0,1
574,8/1/2015 12:06:22,8/1/2015 12:15:57,301,E 2 St & Avenue B,40.72217444,-73.98368779,285,Broadway & E 14 St,40.73454567,-73.99074142,16268,Subscriber,1981.0,1
145,8/1/2015 12:12:57,8/1/2015 12:15:22,301,E 2 St & Avenue B,40.72217444,-73.98368779,432,E 7 St & Avenue A,40.72621788,-73.98379855,15013,Subscriber,1989.0,1
1543,8/1/2015 12:19:54,8/1/2015 12:45:38,301,E 2 St & Avenue B,40.72217444,-73.98368779,316,Fulton St & William St,40.70955958,-74.00653609,21253,Subscriber,1986.0,1
437,8/1/2015 12:24:45,8/1/2015 12:32:03,301,E 2 St & Avenue B,40.72217444,-73.98368779,229,Great Jones St,40.72743423,-73.99379025,18548,Subscriber,1966.0,2
212,8/1/2015 12:24:46,8/1/2015 12:28:19,301,E 2 St & Avenue B,40.72217444,-73.98368779,432,E 7 St & Avenue A,40.72621788,-73.98379855,20643,Subscriber,1978.0,2
230,8/1/2015 12:27:01,8/1/2015 12:30:51,301,E 2 St & Avenue B,40.72217444,-73.98368779,445,E 10 St & Avenue A,40.72740794,-73.98142006,15472,Subscriber,1983.0,2
299,8/1/2015 12:28:49,8/1/2015 12:33:49,301,E 2 St & Avenue B,40.72217444,-73.98368779,433,E 13 St & Avenue A,40.72955361,-73.98057249,16519,Subscriber,1985.0,2
303,8/1/2015 12:28:49,8/1/2015 12:33:53,301,E 2 St & Avenue B,40.72217444,-73.98368779,433,E 13 St & Avenue A,40.72955361,-73.98057249,23558,Subscriber,1985.0,1
1143,8/1/2015 12:29:52,8/1/2015 12:48:56,301,E 2 St & Avenue B,40.72217444,-73.98368779,497,E 17 St & Broadway,40.73704984,-73.99009296,15422,Subscriber,1981.0,1
179,8/1/2015 12:37:14,8/1/2015 12:40:14,301,E 2 St & Avenue B,40.72217444,-73.98368779,403,E 2 St & 2 Ave,40.72502876,-73.99069656,22069,Subscriber,1983.0,1
228,8/1/2015 12:38:08,8/1/2015 12:41:56,301,E 2 St & Avenue B,40.72217444,-73.98368779,341,Stanton St & Mangin St,40.71782143,-73.97628939,20753,Subscriber,1988.0,1
1056,8/1/2015 12:39:01,8/1/2015 12:56:38,301,E 2 St & Avenue B,40.72217444,-73.98368779,351,Front St & Maiden Ln,40.70530954,-74.00612572,21554,Subscriber,1987.0,1
643,8/1/2015 12:41:05,8/1/2015 12:51:48,301,E 2 St & Avenue B,40.72217444,-73.98368779,250,Lafayette St & Jersey St,40.72456089,-73.99565293,15146,Subscriber,1971.0,2
553,8/1/2015 12:45:17,8/1/2015 12:54:30,301,E 2 St & Avenue B,40.72217444,-73.98368779,285,Broadway & E 14 St,40.73454567,-73.99074142,15490,Subscriber,1981.0,1
256,8/1/2015 12:45:34,8/1/2015 12:49:51,301,E 2 St & Avenue B,40.72217444,-73.98368779,511,E 14 St & Avenue B,40.72938685,-73.97772429,18406,Subscriber,1990.0,1
258,8/1/2015 12:52:16,8/1/2015 12:56:34,301,E 2 St & Avenue B,40.72217444,-73.98368779,411,E 6 St & Avenue D,40.72228087,-73.97668709,19482,Subscriber,1969.0,1
354,8/1/2015 12:55:08,8/1/2015 13:01:03,301,E 2 St & Avenue B,40.72217444,-73.98368779,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,20249,Subscriber,1966.0,1
1561,8/1/2015 13:01:55,8/1/2015 13:27:57,301,E 2 St & Avenue B,40.72217444,-73.98368779,533,Broadway & W 39 St,40.75299641,-73.98721619,23022,Subscriber,1988.0,1
594,8/1/2015 13:06:34,8/1/2015 13:16:29,301,E 2 St & Avenue B,40.72217444,-73.98368779,237,E 11 St & 2 Ave,40.73047309,-73.98672378,16183,Subscriber,1958.0,1
248,8/1/2015 13:12:15,8/1/2015 13:16:24,301,E 2 St & Avenue B,40.72217444,-73.98368779,445,E 10 St & Avenue A,40.72740794,-73.98142006,14636,Subscriber,1985.0,1
381,8/1/2015 13:26:53,8/1/2015 13:33:15,301,E 2 St & Avenue B,40.72217444,-73.98368779,229,Great Jones St,40.72743423,-73.99379025,22987,Subscriber,1985.0,1
602,8/1/2015 13:29:47,8/1/2015 13:39:50,301,E 2 St & Avenue B,40.72217444,-73.98368779,229,Great Jones St,40.72743423,-73.99379025,15416,Subscriber,1953.0,1
463,8/1/2015 13:33:38,8/1/2015 13:41:22,301,E 2 St & Avenue B,40.72217444,-73.98368779,237,E 11 St & 2 Ave,40.73047309,-73.98672378,17199,Subscriber,1984.0,1
456,8/1/2015 13:33:46,8/1/2015 13:41:22,301,E 2 St & Avenue B,40.72217444,-73.98368779,237,E 11 St & 2 Ave,40.73047309,-73.98672378,17506,Subscriber,1991.0,2
542,8/1/2015 13:34:05,8/1/2015 13:43:08,301,E 2 St & Avenue B,40.72217444,-73.98368779,342,Columbia St & Rivington St,40.71739973,-73.98016555,19783,Customer,,0
661,8/1/2015 13:45:03,8/1/2015 13:56:05,301,E 2 St & Avenue B,40.72217444,-73.98368779,382,University Pl & E 14 St,40.73492695,-73.99200509,21352,Subscriber,1980.0,1
668,8/1/2015 14:11:09,8/1/2015 14:22:18,301,E 2 St & Avenue B,40.72217444,-73.98368779,528,2 Ave & E 31 St,40.74290902,-73.97706058,20989,Subscriber,1986.0,1
1416,8/1/2015 14:18:00,8/1/2015 14:41:36,301,E 2 St & Avenue B,40.72217444,-73.98368779,330,Reade St & Broadway,40.71450451,-74.00562789,20071,Subscriber,1989.0,1
494,8/1/2015 14:23:39,8/1/2015 14:31:54,301,E 2 St & Avenue B,40.72217444,-73.98368779,251,Mott St & Prince St,40.72317958,-73.99480012,19916,Subscriber,1989.0,1
506,8/1/2015 14:23:39,8/1/2015 14:32:06,301,E 2 St & Avenue B,40.72217444,-73.98368779,251,Mott St & Prince St,40.72317958,-73.99480012,20540,Subscriber,1990.0,2
916,8/1/2015 14:24:51,8/1/2015 14:40:08,301,E 2 St & Avenue B,40.72217444,-73.98368779,444,Broadway & W 24 St,40.742354299999995,-73.98915076,16716,Subscriber,1987.0,1
1355,8/1/2015 14:32:44,8/1/2015 14:55:19,301,E 2 St & Avenue B,40.72217444,-73.98368779,330,Reade St & Broadway,40.71450451,-74.00562789,14713,Customer,,0
1652,8/1/2015 14:32:54,8/1/2015 15:00:26,301,E 2 St & Avenue B,40.72217444,-73.98368779,316,Fulton St & William St,40.70955958,-74.00653609,18362,Customer,,0
1173,8/1/2015 14:36:42,8/1/2015 14:56:15,301,E 2 St & Avenue B,40.72217444,-73.98368779,330,Reade St & Broadway,40.71450451,-74.00562789,15049,Customer,,0
321,8/1/2015 14:50:32,8/1/2015 14:55:53,301,E 2 St & Avenue B,40.72217444,-73.98368779,229,Great Jones St,40.72743423,-73.99379025,19916,Subscriber,1990.0,2
1705,8/1/2015 14:59:47,8/1/2015 15:28:13,301,E 2 St & Avenue B,40.72217444,-73.98368779,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,22058,Customer,,0
1693,8/1/2015 14:59:59,8/1/2015 15:28:13,301,E 2 St & Avenue B,40.72217444,-73.98368779,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,20134,Customer,,0
693,8/1/2015 15:05:01,8/1/2015 15:16:35,301,E 2 St & Avenue B,40.72217444,-73.98368779,361,Allen St & Hester St,40.71605866,-73.99190759,14626,Subscriber,1958.0,2
543,8/1/2015 15:23:23,8/1/2015 15:32:27,301,E 2 St & Avenue B,40.72217444,-73.98368779,293,Lafayette St & E 8 St,40.73028666,-73.9907647,18679,Subscriber,1979.0,1
1427,8/1/2015 15:26:51,8/1/2015 15:50:39,301,E 2 St & Avenue B,40.72217444,-73.98368779,2022,E 60 St & York Ave,40.759107,-73.959223,16417,Subscriber,1989.0,2
386,8/1/2015 15:27:50,8/1/2015 15:34:17,301,E 2 St & Avenue B,40.72217444,-73.98368779,504,1 Ave & E 15 St,40.73221853,-73.98165557,15271,Subscriber,1972.0,1
2008,8/1/2015 15:40:56,8/1/2015 16:14:24,301,E 2 St & Avenue B,40.72217444,-73.98368779,426,West St & Chambers St,40.71754834,-74.01322069,17215,Subscriber,1976.0,1
468,8/1/2015 16:03:01,8/1/2015 16:10:49,301,E 2 St & Avenue B,40.72217444,-73.98368779,297,E 15 St & 3 Ave,40.734232,-73.986923,22701,Subscriber,1983.0,1
370,8/1/2015 16:09:36,8/1/2015 16:15:46,301,E 2 St & Avenue B,40.72217444,-73.98368779,301,E 2 St & Avenue B,40.72217444,-73.98368779,23594,Subscriber,1967.0,1
603,8/1/2015 16:11:28,8/1/2015 16:21:31,301,E 2 St & Avenue B,40.72217444,-73.98368779,348,W Broadway & Spring St,40.72490985,-74.00154702,22511,Subscriber,1982.0,1
942,8/1/2015 16:15:43,8/1/2015 16:31:25,301,E 2 St & Avenue B,40.72217444,-73.98368779,459,W 20 St & 11 Ave,40.746745000000004,-74.007756,23394,Subscriber,1984.0,1
278,8/1/2015 16:17:43,8/1/2015 16:22:22,301,E 2 St & Avenue B,40.72217444,-73.98368779,511,E 14 St & Avenue B,40.72938685,-73.97772429,23594,Subscriber,1975.0,1
203,8/1/2015 16:19:53,8/1/2015 16:23:17,301,E 2 St & Avenue B,40.72217444,-73.98368779,428,E 3 St & 1 Ave,40.72467721,-73.98783413,22115,Subscriber,1985.0,1
1846,8/1/2015 16:20:34,8/1/2015 16:51:21,301,E 2 St & Avenue B,40.72217444,-73.98368779,279,Peck Slip & Front St,40.707873,-74.00166999999999,21972,Customer,,0
2044,8/1/2015 16:28:31,8/1/2015 17:02:36,301,E 2 St & Avenue B,40.72217444,-73.98368779,508,W 46 St & 11 Ave,40.76341379,-73.99667444,20602,Subscriber,1988.0,1
990,8/1/2015 16:32:51,8/1/2015 16:49:22,301,E 2 St & Avenue B,40.72217444,-73.98368779,435,W 21 St & 6 Ave,40.74173969,-73.99415556,22774,Subscriber,1956.0,1
743,8/1/2015 16:44:51,8/1/2015 16:57:15,301,E 2 St & Avenue B,40.72217444,-73.98368779,368,Carmine St & 6 Ave,40.73038599,-74.00214988,21683,Customer,,0
728,8/1/2015 16:45:01,8/1/2015 16:57:09,301,E 2 St & Avenue B,40.72217444,-73.98368779,368,Carmine St & 6 Ave,40.73038599,-74.00214988,18419,Customer,,0
728,8/1/2015 16:45:51,8/1/2015 16:57:59,301,E 2 St & Avenue B,40.72217444,-73.98368779,2003,1 Ave & E 18 St,40.73381219196632,-73.9805442094803,16958,Subscriber,1984.0,1
694,8/1/2015 16:47:11,8/1/2015 16:58:45,301,E 2 St & Avenue B,40.72217444,-73.98368779,250,Lafayette St & Jersey St,40.72456089,-73.99565293,22458,Subscriber,1971.0,1
2971,8/1/2015 16:51:12,8/1/2015 17:40:43,301,E 2 St & Avenue B,40.72217444,-73.98368779,301,E 2 St & Avenue B,40.72217444,-73.98368779,21112,Subscriber,1976.0,2
728,8/1/2015 16:57:34,8/1/2015 17:09:42,301,E 2 St & Avenue B,40.72217444,-73.98368779,475,E 16 St & Irving Pl,40.73524276,-73.98758561,23497,Subscriber,1983.0,1
1876,8/1/2015 17:03:55,8/1/2015 17:35:12,301,E 2 St & Avenue B,40.72217444,-73.98368779,160,E 37 St & Lexington Ave,40.748238,-73.978311,16761,Subscriber,1944.0,1
289,8/1/2015 17:06:44,8/1/2015 17:11:33,301,E 2 St & Avenue B,40.72217444,-73.98368779,403,E 2 St & 2 Ave,40.72502876,-73.99069656,15508,Subscriber,1959.0,1
477,8/1/2015 17:18:40,8/1/2015 17:26:37,301,E 2 St & Avenue B,40.72217444,-73.98368779,250,Lafayette St & Jersey St,40.72456089,-73.99565293,22006,Subscriber,1974.0,2
645,8/1/2015 17:38:52,8/1/2015 17:49:38,301,E 2 St & Avenue B,40.72217444,-73.98368779,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,22893,Subscriber,1975.0,1
554,8/1/2015 17:41:07,8/1/2015 17:50:21,301,E 2 St & Avenue B,40.72217444,-73.98368779,251,Mott St & Prince St,40.72317958,-73.99480012,15605,Subscriber,1957.0,1
345,8/1/2015 17:52:10,8/1/2015 17:57:56,301,E 2 St & Avenue B,40.72217444,-73.98368779,312,Allen St & E Houston St,40.722055,-73.989111,23163,Subscriber,1991.0,1
349,8/1/2015 17:52:11,8/1/2015 17:58:00,301,E 2 St & Avenue B,40.72217444,-73.98368779,312,Allen St & E Houston St,40.722055,-73.989111,16920,Subscriber,1983.0,1
743,8/1/2015 18:02:33,8/1/2015 18:14:56,301,E 2 St & Avenue B,40.72217444,-73.98368779,317,E 6 St & Avenue B,40.72453734,-73.98185424,21970,Subscriber,1986.0,1
421,8/1/2015 18:03:05,8/1/2015 18:10:06,301,E 2 St & Avenue B,40.72217444,-73.98368779,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,15886,Customer,,0
1431,8/1/2015 18:05:49,8/1/2015 18:29:41,301,E 2 St & Avenue B,40.72217444,-73.98368779,127,Barrow St & Hudson St,40.73172428,-74.00674436,20942,Customer,,0
1442,8/1/2015 18:05:49,8/1/2015 18:29:51,301,E 2 St & Avenue B,40.72217444,-73.98368779,127,Barrow St & Hudson St,40.73172428,-74.00674436,16323,Customer,,0
594,8/1/2015 18:30:10,8/1/2015 18:40:05,301,E 2 St & Avenue B,40.72217444,-73.98368779,340,Madison St & Clinton St,40.71269042,-73.98776323,22442,Subscriber,1957.0,1
225,8/1/2015 18:52:57,8/1/2015 18:56:42,301,E 2 St & Avenue B,40.72217444,-73.98368779,302,Avenue D & E 3 St,40.72082834,-73.97793172,16219,Subscriber,1988.0,1
447,8/1/2015 18:56:54,8/1/2015 19:04:21,301,E 2 St & Avenue B,40.72217444,-73.98368779,294,Washington Square E,40.73049393,-73.99572140000001,22060,Subscriber,1991.0,1
513,8/1/2015 19:22:39,8/1/2015 19:31:12,301,E 2 St & Avenue B,40.72217444,-73.98368779,326,E 11 St & 1 Ave,40.72953837,-73.98426726,22117,Subscriber,1958.0,1
309,8/1/2015 19:56:45,8/1/2015 20:01:55,301,E 2 St & Avenue B,40.72217444,-73.98368779,504,1 Ave & E 15 St,40.73221853,-73.98165557,20871,Subscriber,1985.0,1
4636,8/1/2015 20:01:14,8/1/2015 21:18:31,301,E 2 St & Avenue B,40.72217444,-73.98368779,411,E 6 St & Avenue D,40.72228087,-73.97668709,22118,Customer,,0
1347,8/1/2015 20:15:09,8/1/2015 20:37:37,301,E 2 St & Avenue B,40.72217444,-73.98368779,290,2 Ave & E 58 St,40.76020258,-73.96478473,22959,Subscriber,1982.0,1
248,8/1/2015 20:40:31,8/1/2015 20:44:39,301,E 2 St & Avenue B,40.72217444,-73.98368779,266,Avenue D & E 8 St,40.72368361,-73.97574813,17749,Subscriber,1986.0,1
317,8/1/2015 21:16:40,8/1/2015 21:21:57,301,E 2 St & Avenue B,40.72217444,-73.98368779,394,E 9 St & Avenue C,40.72521311,-73.97768752,22713,Subscriber,1952.0,1
2553,8/1/2015 21:26:41,8/1/2015 22:09:15,301,E 2 St & Avenue B,40.72217444,-73.98368779,433,E 13 St & Avenue A,40.72955361,-73.98057249,16103,Customer,,0
2490,8/1/2015 21:27:30,8/1/2015 22:09:00,301,E 2 St & Avenue B,40.72217444,-73.98368779,433,E 13 St & Avenue A,40.72955361,-73.98057249,16834,Subscriber,1983.0,2
650,8/1/2015 22:15:37,8/1/2015 22:26:27,301,E 2 St & Avenue B,40.72217444,-73.98368779,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,17714,Subscriber,1992.0,2
309,8/2/2015 01:16:04,8/2/2015 01:21:14,301,E 2 St & Avenue B,40.72217444,-73.98368779,511,E 14 St & Avenue B,40.72938685,-73.97772429,24061,Subscriber,1984.0,1
552,8/2/2015 02:03:59,8/2/2015 02:13:11,301,E 2 St & Avenue B,40.72217444,-73.98368779,229,Great Jones St,40.72743423,-73.99379025,15637,Customer,,0
779,8/2/2015 02:41:08,8/2/2015 02:54:08,301,E 2 St & Avenue B,40.72217444,-73.98368779,301,E 2 St & Avenue B,40.72217444,-73.98368779,22093,Subscriber,1990.0,2
701,8/2/2015 03:09:55,8/2/2015 03:21:37,301,E 2 St & Avenue B,40.72217444,-73.98368779,483,E 12 St & 3 Ave,40.73223272,-73.98889957,22093,Subscriber,1981.0,1
416,8/2/2015 04:47:29,8/2/2015 04:54:25,301,E 2 St & Avenue B,40.72217444,-73.98368779,266,Avenue D & E 8 St,40.72368361,-73.97574813,21301,Subscriber,1979.0,1
524,8/2/2015 04:48:34,8/2/2015 04:57:18,301,E 2 St & Avenue B,40.72217444,-73.98368779,301,E 2 St & Avenue B,40.72217444,-73.98368779,20189,Customer,,0
528,8/2/2015 05:17:33,8/2/2015 05:26:21,301,E 2 St & Avenue B,40.72217444,-73.98368779,301,E 2 St & Avenue B,40.72217444,-73.98368779,20189,Customer,,0
